98362,ACB,2010,Komunikačné a manažérske zručnosti, - 1. vyd - Košice : TU - 2010. - 111 s. - ISBN 978-80-553-0335-2.,"[TKÁČOVÁ, Renáta (100%)]",5,"['2010  [4] GENČÚROVÁ, Andrea Types on nonverbal communication in a civil aviation setting In: Humanitné vedy a ich význam pri vzdelávaní a rozvoji kľúčových kompetencií študentov vysokých škôl technického zamerania : zborník recenzovaných vedeckých prác s medzinárodnou účasťou k 20. výročiu založenia katedry S. 132-134 ISBN: 978-80-553-0523-3', '2011  [4] HREHOVÁ, Daniela, ŽIARAN, Pavel In todays competitive world communication skills in business are most sought after quality In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách S.  77-97 ISBN: 978-80-553-0715-2', '2013  [4] ROHÁČOVÁ, Tatiana, STEINGARTNER, William Pedagogická komunikácia - faktor kultivácie osobnosti študenta In: Možnosti kultivácie osobnosti v technologickom veku: Zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 84-92 ISBN: 978-80-553-1344-3', '2014  [4] HORENSKÝ, Marián Podnikateľská výchova ako faktor rozvoja osobnosti In: Technologické vzdelávanie v sociokultúrnom a environmentálnom kontexte : zborník recenzovaných vedeckých prác s medzinárodnou účasťou : teoreticko-metodický seminár : Prešov, 10.9.2014 [CD-ROM] S. 82-86 ISBN: 978-80-553-1808-0', '2014  [3] ĎURICA, Dušan, KOŠČOVÁ, Mária, SUK, Miloš Záplavy, povodne a zátopy. Geologické a antropogénne príčiny a dôsledky. In: Záplavy, povodne a zátopy. Geologické a antropogénne príčiny a dôsledky. 112 p. ISBN: 978–80–7028–440–7']"
99819,ACB,2010,Úvod do modernej didaktiky 1," - 2. uprav. - Košice : TU, KIP - 2010. - 322 s. - ISBN 978-80-553-0462-5.","[BLAŠKO, Michal (100%)]",0,[]
99820,ACB,2010,Úvod do modernej didaktiky 2," - 2. uprav. - Košice : TU, KIP - 2010. - 166 s. - ISBN 978-80-553-0466-3.","[BLAŠKO, Michal (100%)]",0,[]
113689,ACB,2011,Efektívna sociálna komunikácia, - 1. preprac. vyd. - Košice : KSV TU - 2011. - 94 s.. - ISBN 978-80-553-0757-4.,"[RAČKOVÁ, Mariana (100%)]",2,"['2009  [4] BIRKNEROVÁ, Zuzana, ZAHATŇANSKÁ, Mária Komunikatívne kompetencie v edukačnom procese In: Multikulturalita a komunikatívne kompetencie : zborník príspevkov : Prešov, 2009 S. 194-199 ISBN: 978-80-555-0089-8', '2012  [3] BIRKNEROVÁ, Zuzana Professional Preconditions for Successful Managerial Work In: Advances in Asian Social Science Vol. 1, no. 1 (2012), p. 67-71']"
118440,ACB,2012,Aspekty kresby," - 1. vyd - Košice : TU, FU - 2012. - 83 s.. - ISBN 978-80-553-0819-7.","[HAŠČÁK, Jozef (50%) - RAČKOVÁ, Mariana (50%)]",0,[]
119564,ACB,2012,Management tvorivosti, - 1. vyd. - Pezinok : Via Bibliotheca - 2012. - 107 s.. - ISBN 978-80-89527-09-0.,"[RAČKOVÁ, Mariana (100%)]",2,"['2017  [4] FRANKOVSKÝ, Miroslav - BIRKNEROVÁ, Zuzana Špecifikácia faktorov zvládania náročných situácií v obchodnom správaní In: Zvládanie náročných situácií a stresu v manažmente S. 14-21 ISBN: 978-80-8165-241-7', '2017  [4] MATOCHOVÁ, Jana Odolnosť manažéra v mimořadnych událostech In: Zvládanie náročných situácií a stresu v manažmente S. 58-67 ISBN: 978-80-8165-241-7']"
151408,ACB,2012,Estetika, - [1. vyd.] - Košice : TU - 2012. - 97 s. [CD-ROM]. - ISBN 978-80-533-1053-4.,"[HREHOVÁ, Daniela (100%)]",0,[]
171195,ACB,2012,Estetika, - 1. vyd. - Košice : TU - 2012. - 90 s.. - ISBN 978-80-553-1051-0.,"[HREHOVÁ, Daniela (100%)]",0,[]
151660,ACB,2014,Manažérska komunikácia," - 1. vyd - Košice : TU, LF - 2014. - 149 s.. - ISBN 978-80-553-1737-3.","[POPRENDA, Ján (50%) - RAČKOVÁ, Mariana (50%)]",3,"['2017  [4] KIMÁKOVÁ, Tatiana Fyziologické zmeny v starobe In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, 28-29 November, 2017 S. 32-36 ISBN: 978-80-553-2847-8', '2018  [4] BIRKNEROVÁ, Zuzana Analýza súvislostí medzi osobnostnými charakteristikami, faktormi syndrómy vyhorenia a jeho prevencia In: Osobnostný a sociálny rozvoj ako základ efektívnej prevencie v škole S. 7-16 ISBN: 978-80-553-3203-1', '2019  [4] KIMÁKOVÁ, Tatiana Zdravý životný štýl návštevníkov bardejovských kúpeľov In: Zdravý životný štýl návštevníkov bardejovských kúpeľov 138 s. ISBN: 978-80-8143-246-0']"
162590,ACB,2015,Security aspects of the computer networks, - 1. vyd. - Košice : Technická univerzita - 2015. - 115 s. [CD-ROM]. - ISBN 978-80-553-2109-7.,"[JAKAB, František (25%) - MICHALKO, Miroslav (25%) - FECIĽAK, Peter (25%) - FECIĽAKOVÁ, Katarína (25%)]",0,[]
164839,ACB,2015,Metodické materiály k podnikateľským zručnostiam pre neekonómov : Humanitné a spoločenskovedné aspekty podnikania, - 1. vyd - Košice : TU - 2015. - 133 s.. - ISBN 978-80-553-2372-5.,"[HREHOVÁ, Daniela (20%) - JENČOVÁ, Anna (10%) - ROHÁČOVÁ, Tatiana (10%) - GLUCHMAN, Martin (10%) - RAČKOVÁ, Mariana (10%) - RÁC, Igor (10%) - TKÁČOVÁ, Renáta (10%) - DŽUPKOVÁ, Helena (10%) - HORENSKÝ, Marián (10%)]",0,[]
169139,ACB,2015,Piliere sociálneho zabezpečenia, - 1. vyd. - Košice : UK TU - 2015. - 135 s.. - ISBN 978-80-553-2413-5.,"[TKÁČOVÁ, Renáta (100%)]",0,[]
170128,ACB,2015,Akademická etiketa, - 1. vyd. - Košice : TU - 2015. - 76 s.. - ISBN 978-80-553-2456-2.,"[HREHOVÁ, Daniela (100%)]",0,[]
167557,ACB,2016,Psychohygiena v živote moderného človeka, - 1. vyd. - Košice : TU - 2016. - 168 s.. - ISBN 978-80-553-2284-1.,"[RAČKOVÁ, Mariana (100%)]",5,"['2017  [4] KIMÁKOVÁ, Tatiana - SCHUSTER, Jozef Zvláštnosti výživy a pitného režimu v starobe In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, 28-29 November, 2017 S. 38-41 ISSN: 978-80-553-2847-8', '2017  [4] TKÁČOVÁ, Renáta - HÁDOBAS, Miriam Záujmové vzdelávanie tretieho veku v kontexte kvality života In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, 28-29 November, 2017 S. 101-109 ISBN: 978-80-553-2847-8', '2018  [4] ROHÁČOVÁ, Tatiana, KYRYCHUK, Anzhela Kvalita pracovného života ako významná súčasť kvality života In: Kvalita života a zodpovedné – nerizikové správanie : zborník vedeckých prác s medzinárodnou účasťou : Košice, 2018 S. 56-62 ISBN: 978-80-553-2976-5', '2019  [4] KIMÁKOVÁ, Tatiana Zdravý životný štýl návštevníkov bardejovských kúpeľov In: Zdravý životný štýl návštevníkov bardejovských kúpeľov 138 s. ISBN: 978-80-8143-246-0', '2019  [4] ROHÁČOVÁ, Tatiana - KYRYCHUK, Anzhela - ZAHATŇANSKÁ, Mária Zosúladenie pracovného a osobného života ako významný faktor kvality života In: Vysokoškolská telesná výchova a šport, pohybová aktivita a zdravý životný štýl 2019 : recenzovaný zborník vedeckých prác S. 211-218 ISBN: 978-80-553-2720-4']"
170126,ACB,2016,Komunikácia a rétorika pre potreby praxe, - 1. vyd. - Košice : TU - 2016. - 121 s.. - ISBN 978-80-553-2549-1.,"[HREHOVÁ, Daniela (100%)]",1,"['2018  [4] LINDR, Jaroslav Význam společenskovědních předmětů pro úspěšnější začlenění absolventů do praxe In: Sociálne a psychologické aspekty globálneho trhu práce : zborník recenzovaných vedeckých prác s medzinárodnou účasťou : Košice, 2018 S. 298-303 ISBN: 978-80-553-2739-6']"
170514,ACB,2016,Podnikateľská etika, - 1. vyd. - Nitra : SPU Nitra - 2016. - 169 s.. - ISBN 978-80-552-1487-0.,"[SVITAČOVÁ, Eva (70%) - HREHOVÁ, Daniela (30%)]",2,"['2016  [1] KLIMKOVÁ, A., OROSOVÁ, R. The education for sustainable development and teacher competencies for anthropocene In: Turkish Onlin eJournal of Educational Technology Vol. 2016, no. December (2016), p. 793-801 ISSN: 1303-6521', '2018  [3] BAĎUROVÁ, Barbora Aký by mal byť etický líder v organizácií? In: Ekonomika, právo a manažment Vol. 6, no. Leden (2018), p. 5-21 ISSN: 1804-3550']"
186376,ACB,2017,Psychohygiena hrou, - 1. vyd - Košice : TU - 2017. - 197 s. - ISBN 978-80-553-2836-2.,"[RAČKOVÁ, Mariana (100%)]",7,"['2017  [4] KIMÁKOVÁ, Tatiana Antioxidanty a ich význam vo výžive seniorov In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : Zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, November 28-29, 20017 ISBN: 978-80-553-2847-8', '2017  [4] KIMÁKOVÁ, Tatiana - SCHUSTER Jozef Zvláštnosti výživy a pitného režimu v starobe In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : Zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, November 28-29, 20017 S. 38-42 ISBN: 978-80-553-2847-8', '2017  [4] KIMÁKOVÁ, Tatiana Fyziologické zmeny v starobe In: Univerzita tretieho veku - miesto inšpirácie a vzájomného učenia : zborník príspevkov z konferencie s medzinárodnou účasťou pri príležitosti 25. výročia založenia UTV v Košiciach : Košice, 28-29 November, 2017 S. 32-36 ISSN: 978-80-553-2847-8', '2017  [4] FRANKOVSKÝ, Miroslav - BIRKNEROVÁ, Zuzana Špecifikácia faktorov zvládania náročných situácií v obchodnom správaní In: Zvládanie náročných situácií a stresu v manažmente S. 14-21 ISBN: 978-80-8165-241-7', '2018  [4] BIRKNEROVÁ, Zuzana Analýza súvislostí medzi osobnostnými charakteristikami, faktormi syndrómy vyhorenia a jeho prevencia In: Osobnostný a sociálny rozvoj ako základ efektívnej prevencie v škole : vedecký zborník recenzovaných štúdií s medzinárodnou účasťou S. 7-16 ISBN: 978-80-553-3203-1', '2019  [4] KIMÁKOVÁ, Tatiana Zdravý životný štýl návštevníkov bardejovských kúpeľov In: Zdravý životný štýl návštevníkov bardejovských kúpeľov 138 s. ISBN: 978-80-8143-246-0', '2019  [4] TKÁČOVÁ, Renáta - PORÁČOVÁ, Janka Fyzická nečinnosť problém verejného zdravia In: Vysokoškolská telesná výchova a šport, pohybová aktivita a zdravý životný štýl 2019 : recenzovaný zborník vedeckých prác S. 230-235 ISBN: 978-80-553-3306-9']"
193609,ACB,2018,Efektívna komunikácia a úspešná prezentácia, - 1. vyd. - Košice : TU - 2018. - 99 s.. - ISBN 978-80-553-2978-9.,"[RAČKOVÁ, Mariana (100%)]",1,"['2018  [4] BIRKNEROVÁ, Zuzana Analýza súvislostí medzi osobnostnými charakteristikami, faktormi syndrómy vyhorenia a jeho prevencia In: Osobnostný a sociálny rozvoj ako základ efektívnej prevencie v škole S. 7-16 ISBN: 978-80-553-3203-1']"
203996,ACB,2018,Základy stresológie, - 1. vyd. - Košice : Technická univerzita v Košiciach - 2018. - 101 s. [print]. - ISBN 978-80-553-3288-8.,"[JENČOVÁ, Anna (100%)]",0,[]
22240,ACD,2000,Rozvoj služieb informačných systémov vo väzbe na vývojové trendy a e-technológie, - 2000.,"[LAVRIN, Anton (50%) - ŠEVEC, Sergej (50%)]",0,[]
38443,ACD,2005,Riadenie a rozvoj transeurópskej dopravnej siete, - 2005.,"[BALOG, Michal (50%) - TOMÁŠOVÁ, Daniela (50%)]",0,[]
103640,ACD,2009,Aplikovaná estetika, - 2009.,"[HREHOVÁ, Daniela (100%)]",4,"['2010  [3] TAVEL, Peter, ŠARNÍKOVÁ, Gabriela Spirituálne a filozofické témy pri praktickej práci s mladými ľuďmi In: Mádež a hodnoty 2010 P. 209 ISBN: 978-80-7409-035-6', '2012  [4] SOKOLOVA, Anastacia Stanislavovna Guidelines on preparing for the course of lectures on ""ethics and aesthetics"" In: Spoločenskovedné vzdelávanie na technických univerzitách a proces globalizácie : Medzinárodné kolokvium : Zborník vedeckých prác : Bratislava, 20.6.2012 [CD-ROM] S. 129-134 ISBN: 978-80-227-3726-5', '2011  [4] PATER-EJGIERD, Natalia Visual Communication and Language as a Subject of Research in Language-related Fields In: Sociálne a politické analýzy Roč. 5, č. 1 (2011), s. 17-29 ISSN: 1337-5555', '2011  [4] SOKOLOVA, Anastacia Stanislavovna Formation Professional Qualities of Students in the Process of Carrying out the Analysis of Works of Art In: Sociálne a politické analýzy Roč. 5, č. 2 (2011), s. 55-67 ISSN: 1337-5555']"
165581,ACD,2015,Kvalifikácia a kariéra, - 2015.,"[RÁC, Igor (100%)]",0,[]
165583,ACD,2015,Osobnosť podnikateľa, - 2015.,"[JENČOVÁ, Anna (100%)]",1,"['2017  [4] ČIPKÁR, Ján, ČERVENÁ, Karolína Univerzitné vzdelávanie v službách efektívnosti zisku In: Univerzitná príprava absolventov pre potreby globálneho trhu : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 85-93 ISSN: 978-80-553-2800-3']"
165584,ACD,2015,Vedenie ľudí, - 2015.,"[ROHÁČOVÁ, Tatiana (100%)]",2,"['2017  [4] ČIPKÁR, Ján - ČERVENÁ, Karolína Univerzitné vzdelanie v službách efektívnosti zisku In: Univerzitná príprava absolventov pre potreby globálneho trhu : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 58-94 ISBN: 978-80-553-2800-3', '2018  [4] JENČOVÁ, Anna Reziliencia a jej možnosti v budovaní zdravej osobnosti In: Sociálne a psychologické aspekty globálneho trhu práce S. 46-51 ISBN: 978-80-553-2739-6']"
165585,ACD,2015,Psychologické aspekty podnikania, - 2015.,"[RAČKOVÁ, Mariana (100%)]",1,"['2016  [4] JENČOVÁ, Anna Reflexia možností psychologických disciplín vo vzdelávaní a výchove na technickej univerzite In: Veda, technika a spoločenské vedy vo vzdelávaní na technických univerzitách : zborník vedeckých prác z medzinárodného kolokvia : Bratislava, 30. jún, 2016 S. 108-112 ISBN: 978-80-227-4576-5']"
165587,ACD,2015,Podnikanie a politika, - 2015.,"[DŽUPKOVÁ, Helena (50%) - HORENSKÝ, Marián (50%)]",0,[]
165589,ACD,2015,Zosúladenie pracovného a osobného života, - 2015.,"[TKÁČOVÁ, Renáta (100%)]",2,"['2017  [4] ČIPKÁR, Ján - ČERVENÁ, Karolína Univerzitné vzdelanie v službách efektívnosti zisku In: Univerzitná príprava absolventov pre potreby globálneho trhu : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 85-93 ISBN: 978-80-553-2800-3', '2019  [4] ROHÁČOVÁ, Tatiana - KYRYCHUK, Anzhela - ZAHATŇANSKÁ, Mária Zosúladenie pracovného a osobného života ako významný faktor kvality života In: Vysokoškolská telesná výchova a šport, pohybová aktivita a zdravý životný štýl 2019 : recenzovaný zborník vedeckých prác S. 211-218 ISBN: 978-80-553-3306-9']"
166428,ACD,2015,Komunikačné a prezentačné zručnosti podnikateľa, - 2015.,"[HREHOVÁ, Daniela (100%)]",0,[]
166430,ACD,2015,Etické aspekty podnikania: etika podnikania a podnikateľa, - 2015.,"[GLUCHMAN, Martin (50%) - HREHOVÁ, Daniela (50%)]",1,"['2018  [4] JENČOVÁ, Anna Reziliencia a jej možnosti v budovaní zdravej osobnosti In:  Sociálne a psychologické aspekty globálneho trhu práce S. 46-51 ISBN: 978-80-553-2739-6']"
198868,ACD,2018,Jazyková a interkultúrna komunikácia, - 2018.,"[SORGER, Roman (100%)]",0,[]
198942,ACD,2018,Tímová práca v multikultúrnom pracovnom prostredí, - 2018.,"[ROHÁČOVÁ, Tatiana (100%)]",0,[]
201143,ACD,2018,Etické aspekty podnikania v globálnom kontexte, - 2018.,"[HREHOVÁ, Daniela (100%)]",0,[]
201147,ACD,2018,Biznis etiketa a interkultúrna komunikácia v globálnom kontexte, - 2018.,"[HREHOVÁ, Daniela (100%)]",0,[]
201822,ACD,2018,Sociálno-psychologické aspekty podnikania v globálnom kontexte, - 2018.,"[JENČOVÁ, Anna (100%)]",0,[]
202549,ACD,2018,Kultúra a komunikácia. Neverbálna komunikácia, - 2018.,"[ILEČKO, Tomáš (100%)]",0,[]
106884,ADC,2010,Chua's singularities: Great miracles in circuit theory, - 2010.,"[ŠPÁNY, Viktor (20%) - GALAJDA, Pavol (20%) - GUZAN, Milan (20%) - PIVKA, Ladislav (20%) - OLEJÁR, Martin (20%)]",17,"['2011  [4] SOBOTA, Branislav 3D modelling of Chua`s circuit boundary surface In: Acta Electrotechnica et Informatica Roč. 11, č. 1 (2011), s. 44-47 ISSN: 1335-8243', '2011  [1] PETRŽELA, Jiří, HRUBOŠ, Zdeněk, GOTTHANS, Tomáš Modeling deterministic chaos using electronic circuits In: Radioengineering Vol. 20, no. 2 (2011), p. 438-444 ISSN: 1210-2512', '2011  [1] PETRŽELA, Jiří, GOTTHANS, Tomáš, HRUBOŠ, Zdeněk Analog implementation of Gotthans-Petrzela oscillator with virtual equilibria In: Proceedings of 21st International Conference, Radioelektronika 2011: Brno. Brno: VUT Brno P. 53-56 ISBN: 978-161284322-3', '2011  [1] GOTTHANS, Tomáš, PETRŽELA, Jiří Experimental study of the sampled labyrinth chaos In: Radioenginnering Vol. 20, no. 4 (2011), p. 873-879 ISSN: 1210-2512', '2012  [1] PETRŽELA, Jiří Optimal piecewise-linear approximation of the quadratic chaotic dynamics In: Radioenginnering Vol. 21, no. 1 (2012), p. 20-28 ISSN: 1210-2512', '2011  [1] PETRŽELA, Jiří On the piecewise-linear approximation of the polynomial chaotic dynamics In: TSP 2011 : 34th International Conference on Telecommunications and Signal Processing : 18-20, August 2011, Budapest P. 319-323 ISBN: 978-145771-411-5', '2013  [2] GOTTHANS, Tomáš Multi grid chaotic attractors with discrete Jumps In: Journal of Electrical Engineering Roč. 64, č. 2(2013), s. 118-122 ISSN: 1335-3632', '2011  [3] HODULÍKOVÁ, A., KOVÁČ, D. Modelling of magnetic field of elastomagnetic pressure force sensor in cosmos/EMS enviroment In: Electromechanical and energy saving systems Vol. 15, no. 3 (2011), p. 155-158 ISSN: 2074-9937', '2011  [3] VINCE, T., KOVÁČ, D. Remote measurements of variable topology electric circuit software In: Electromechanical and energy saving systems Vol. 15, no. 3 (2011), p.178-181 ISSN: 2074-9937', '2015  [1] GOTTHANS, Tomas - PETRŽELA, Jiří New class of chaotic systems with circular equilibrium In: NONLINEAR DYNAMICS Vol. 81, no. 3 (2015), p. 1143-1149 ISSN: 0924-090X', '2014  [1] YENER, S.C, KUNTMAN, H.H. Fully CMOS Memristor Based Chaotic Circuit In: RADIOENGINEERING Vol. 23, no. 4 (2014), p. 1140-1149 ISSN: 1210-2512', '2015  [3] BLICHA, R. Effect of Iterative Algorithm on the Performance of MC-CDMA System with Nonlinear Models of HPA In: World Academy of Science, Engineering and Technology International Journal of Electrical, Computer, Electronics and Communication Engineering Vol. 9, no. 1 (2015), p. 104-108 ISSN: 2010-376X', '2017  [1] PETRZELA, Jiri - GOTTHANS, Tomas New Chaotic Dynamical System with a Conic-Shaped Equilibrium Located on the Plane Structure In: Applied Sciences-Basel Vol. 7, no. 10 (2017) ISSN: 2076-3417', '2018  [1] PETRZELA, J. Multi-state memory cell with resonant tunelling diodes: Circuit tool for chaos generation In: Radioelektronika 2018 : 28th international conference : Prague, April 19-20, 2018 P. 1-5 ISBN: 978-153862485-2', '2018  [1] PETRŽELA, Jiří Strange Attractors Generated by Multiple-Valued Static Memory Cell with Polynomial Approximation of Resonant Tunneling Diodes In: Entropy Vol. 20, no. 9 (2018), article no. 697 ISSN: 1099-4300', '2018  [1] PETRŽELA, Jiří Multi-valued static memory with resonant tunneling diodes as natural source of chaos In: Nonlinear dynamics Vol. 94, no. 3 (2018), p. 1867-1887 ISSN: 0924-090X', '2019  [1] MLIKI, Ezzedine et al. Some New Chaotic Maps With Application in Stochastic In: Recent Advances in Chaotic Systems and Synchronization: from Theory to Real World Applications P. 165-185 ISBN: 978-0-12-816266-8']"
138037,ADC,2013,Analogue Realization of Fractional-Order Dynamical Systems, - 2013.,"[DORČÁK, Ľubomír (17%) - VALSA, Juraj (17%) - GONZALEZ, Emmanuel (17%) - TERPÁK, Ján (17%) - PETRÁŠ, Ivo (16%) - PIVKA, Ladislav (16%)]",0,[]
184008,ADC,2017,Particle verbs in English: Telicity or scalarity?, - 2017.,"[WALKOVÁ, Milada (100%)]",0,[]
21238,ADD,1995,Niektoré kvantitatívne charakteristiky pedagogickej interakcie v situácii frontálneho vyučovania na ZŠ, - 1995.,"[SCHNITZEROVÁ, Eva (50%) - RAČKOVÁ, Mariana (50%)]",5,"['2011  [3] BRADOVÁ, Jarmila Variácie priestorového usporiadania školskej triedy a ich vplyv na pedagogickú komunikáciu In: Studia paedagogica Vol. 16, no. 1 (2011), p. 191-210 ISSN: 2336-4521', '2011  [3] BRADOVÁ, Jarmila Materialita školskej triedy v procesoch pedagogickej komunikácie In: Smíšený design v pedagogickém výzkumu: Sborník příspěvků z 19. výroční konference České asociace pedagogického výzkumu P. 383-387 ISBN: 978-80-210-5774-6', '2008  [3] DOMKÁŘOVÁ, Veronika Komunikační procesy na 2. stupni základní školy z hlediska prostorového uspořádání jednotlivých aktérů In: Studia paedagogica Vol. 13 (2008), p. 153–161 ISSN: 1803-7437', '2013  [3] ANDREÁNSKY, Miroslav - BRUNCLÍKOVÁ, Zuzana - PREVENDÁROVÁ, Jitka Limitujúce faktory socializácie dieťaťa v ZŠ In: Psychológia (v) škole S. 166-170 ISBN: 978-80-223-3483-9', '2004  [4] VAŠAŠOVÁ, Z.: Školské hodnotenie a vzťah učiteľ-žiak. In: Evalvácia v edukačnom procese vysokých škôl a problémy výučby pedagogicko-psychologických disciplín v edukácii budúcich učiteľov : zborník príspevkov : 7.-8.10.2004. Banská Bystricka : UMB, 2004. S. 42-48. ISBN 80-8083-037-1.']"
